id,department,link,duty,pno,keywords
0,학생지원팀/장학팀,https://student.hufs.ac.kr/,"학생지원, 장학업무 총괄",0313304032,"학생지원팀, 장애학생 지원, 장애학생지원센터, 사회봉사센터, 총학생회, 모의국제연합, ROTC, 동아리연합회, 강의실 대여, 교내행사 허가, 교내행사 관리, 학생징계, 징계"
1,학생지원팀/장학팀,https://student.hufs.ac.kr/,"총학생회 등 학생 자치기구 관리, 포상 및 징계, 기타 학생민원",0313304033,"학생회 보고, 예산 사용, 자치기구 운영, 포상 신청, 포상 기준, 징계 절차, 징계 사례, 이의 신청, 민원 접수, 민원 처리, 활동 규정, 규정 변경, 자치기구 지원, 자치기구 평가, 회의록 공개, 선거 절차, 예산 배정, 활동 결과, 포상 이력, 징계 기록"
2,학생지원팀/장학팀,https://student.hufs.ac.kr/,"외부장학, 국가근로",0313304034,"장학, 장학금, 외부장학, 근로, 국가근로"
3,학생지원팀/장학팀,https://student.hufs.ac.kr/,"교내장학, 통계 및 정보공시, 장학위원회 운영",0313304038,"장학, 장학금, 교내장학, 통계, 정보공시, 장학위원회"
4,학생지원팀/장학팀,https://student.hufs.ac.kr/,"국가장학, 학자금 대출",0313304037,"장학, 장학금, 국가장학, 학자금, 학자금대출, 대출"
5,학생상담센터,https://sccs.hufs.ac.kr/,학생상담센터,0313304141,"상담, 심리, 개인, 학업, 스트레스, 대인관계, 진로, 정신, 상담예약, 심리검사, 우울증, 불안, 자아"
6,진로취업지원센터,https://job.hufs.ac.kr/job/main/index.do,진로취업지원센터팀장,0313304646,"진로상담, 취업상담, 취업지원, 이력서, 자기소개서, 면접, 취업, 채용, 인턴, 경력, 특강, 커리어, 직무, 기업 연결, 취업 전략"
7,진로취업지원센터,https://job.hufs.ac.kr/job/main/index.do,진로취업지원센터,0313304040,"진로상담, 취업상담, 취업지원, 이력서, 자기소개서, 면접, 취업, 채용, 인턴, 경력, 특강, 커리어, 직무, 기업 연결, 취업 전략"
8,진로취업지원센터,https://job.hufs.ac.kr/job/main/index.do,진로취업지원센터,0313304041,"진로상담, 취업상담, 취업지원, 이력서, 자기소개서, 면접, 취업, 채용, 인턴, 경력, 특강, 커리어, 직무, 기업 연결, 취업 전략"
9,진로취업지원센터,https://job.hufs.ac.kr/job/main/index.do,진로취업지원센터,0313304042,"진로상담, 취업상담, 취업지원, 이력서, 자기소개서, 면접, 취업, 채용, 인턴, 경력, 특강, 커리어, 직무, 기업 연결, 취업 전략"
10,현장실습지원센터,https://co-op.hufs.ac.kr/index.do,현장실습지원센터,0313304774,"현장실습, 실습기관, 실습일정, 실습기간, 실습평가, 실습신청, 실습요건, 실습보고서, 실습인증, 실습지원, 월급"
11,창업교육센터,https://ec.hufs.ac.kr/,창업교육센터,0313304691,"창업, 워크숍, 세미나, 창업아이디어, 창업상담, 창업교육, 창업프로그램, 창업자금, 창업멘토링, 창업지원금"
12,사회봉사센터,https://builder.hufs.ac.kr/user/indexSub.action?codyMenuSeq=117272956&siteId=volunteer2&menuType=T&uId=3&sortChar=A&menuFrame=left&linkUrl=3_6.html&mainFrame=right,사회봉사센터,0313304035,"봉사, 사회봉사, 봉사활동, 자원봉사, 봉사시간,  봉사기관, 봉사일정"
13,장애학생지원센터,https://builder.hufs.ac.kr/user/indexSub.action?codyMenuSeq=40374858&siteId=support&menuType=T&uId=2&sortChar=A&linkUrl=menu02_7.html&mainFrame=right,장애학생지원센터터,0313304033,"장애, 장애등록, 학습지원, 장애인식, 특별지원, 장애학생편의시설, 장애학생복지, 장애학생"
14,보건실,https://www.hufs.ac.kr/hufs/11301/subview.do,보건실,0313304036,"보건실,병원,응급처치, 건강검진, 약, 인바디"
15,학사종합지원센터,https://haksa.hufs.ac.kr/,학사종합지원센터 팀장,0313304025,"증명서발급, 학생증발급, 신분증발급, 대학원 업무지원, 글로벌 학사종합지원센터, 원스톱서비스센터, 교직, 졸업시험, FLEX 환불, 정규학기 수업, 교과과정, 학사, 학적, 성적평가, 계절학기, 학과 배정, 전공 배정, 모듈 배정, 계절학기 학점교류, 수업 진행, 이중전공, 부전공, 학점인정, 추가학기 대상, 추가학기, 군복학, 이수구분 변경"
16,학사종합지원센터,https://haksa.hufs.ac.kr/,"수강신청, 교과과정",0313304028,"정규학기 수업 문의, 정규학기 수업, 교과과정, 교과과정 문의, 수업문의"
